fixture,tool,format,raster_density,primary,previous_median_ms,current_median_ms,latency_change_percent,speedup,previous_width,previous_height,current_width,current_height,output_unchanged
queue_workers,graphviz-dot,png,2.0,True,313.153604,315.794354,0.843276260042658,0.9916377542329334,5494,2003,5494,2003,True
queue_workers,graphviz-dot,svg,,True,78.416125,80.082479,2.1250144660935666,0.9791920277592804,2060pt,751pt,2060pt,751pt,True
queue_workers,plantuml-dot,png,2.0,True,1121.7765415,1187.315021,5.842382780831223,0.9448011030427282,4681,1372,4681,1372,True
queue_workers,plantuml-dot,svg,,True,895.7021255,910.011375,1.5975455558969953,0.984275746553168,2341px,687px,2341px,687px,True
ross_overview,d2-dagre,png,2.0,True,446.333396,505.00545850000003,13.1453444949031,0.8838189538103775,5392,7078,5392,7078,True
ross_overview,d2-dagre,svg,,True,25.801604,26.0612915,1.0064781243832588,0.990035509176512,,,,,True
ross_overview,d2-tala,png,2.0,True,469.2343125,459.9030205,-1.988620983466538,1.0202896949662454,3602,7738,3148,8258,False
ross_overview,d2-tala,svg,,True,124.060063,113.74229199999999,-8.316754602970022,1.0907118259934485,,,,,False
ross_overview,mermaid-dagre,png,2.0,True,521.507417,538.0651045,3.1749668288993727,0.9692273530442264,5158,1754,5158,1754,True
ross_overview,mermaid-dagre,svg,,True,390.8419585,419.2333335,7.264157387032455,0.9322778683580034,2578.828125,877,2578.828125,877,True
ross_overview,graphviz-dot,png,2.0,True,205.27018750000002,209.6821035,2.149321366990997,0.9789590245120753,5857,1520,5857,1520,True
ross_overview,graphviz-dot,svg,,True,81.64156249999999,77.6015,-4.948536476136145,1.0520616547360553,2196pt,570pt,2196pt,570pt,True
ross_overview,plantuml-dot,png,2.0,True,1142.372104,1205.418979,5.518943851941249,0.947697127639136,2753,1646,2753,1646,True
ross_overview,plantuml-dot,svg,,True,881.775042,920.720729,4.416737279347949,0.9577008687071712,1377px,824px,1377px,824px,True
spyre_encoder,d2-dagre,png,2.0,True,322.38379150000003,332.15420800000004,3.030678575538759,0.9705846975149567,3988,6098,3988,6098,True
spyre_encoder,d2-dagre,svg,,True,34.638208500000005,33.6188955,-2.9427416836526166,1.0303196456885386,,,,,True
