fixture,category,node_count,group,tool,format,raster_density,primary,eligible,expected_measured,measured_attempts,successes,failures,missing_measurements,median_ms,ci95_low_ms,ci95_high_ms,min_ms,q25_ms,q75_ms,p95_ms,max_ms,measured_output_hash_count,output_stable,output
leios_simulator,real-world,20,svg,d2-dagre,svg,,True,True,20,20,20,0,0,23.5761455,22.992354,26.070376399999986,22.025959,22.9517915,26.937281249999998,39.36745835,39.993667,1,True,renders/d2-dagre/leios_simulator.svg
leios_simulator,real-world,20,png-primary,d2-tala,png,2.0,True,True,20,20,20,0,0,278.816604,274.1181045,283.15131199999996,272.043167,273.84485425,285.437031,294.64158715,294.753291,1,True,renders/d2-tala/leios_simulator.png
leios_simulator,real-world,20,svg,d2-tala,svg,,True,True,20,20,20,0,0,39.554208,38.5055415,42.744417,37.703792,38.44993725,45.2030735,59.7193899,68.846,1,True,renders/d2-tala/leios_simulator.svg
leios_simulator,real-world,20,png-primary,mermaid-dagre,png,2.0,True,True,20,20,20,0,0,647.8829585,643.898354,654.261209,621.001542,643.3063960000001,660.35629225,688.1638976,744.186625,1,True,renders/mermaid-dagre/leios_simulator.png
leios_simulator,real-world,20,svg,mermaid-dagre,svg,,True,True,20,20,20,0,0,406.2115205,398.183042,412.22513521249994,388.711167,397.53775049999996,415.65681225,441.6966354,448.175833,1,True,renders/mermaid-dagre/leios_simulator.svg
leios_simulator,real-world,20,png-primary,graphviz-dot,png,2.0,True,True,20,20,20,0,0,312.08747900000003,308.406646,316.3944995,305.679583,308.14749,318.76526,328.36830625000005,347.5,1,True,renders/graphviz-dot/leios_simulator.png
leios_simulator,real-world,20,svg,graphviz-dot,svg,,True,True,20,20,20,0,0,75.79054149999999,74.13675,77.317104,71.155291,74.040104,77.58394825,79.61260975,80.601916,1,True,renders/graphviz-dot/leios_simulator.svg
leios_simulator,real-world,20,png-primary,plantuml-dot,png,2.0,True,True,20,20,20,0,0,1241.281167,1233.696187,1267.0090625,1173.821666,1231.50165575,1271.7222287499999,1387.8520812500003,1588.417625,1,True,renders/plantuml-dot/leios_simulator.png
leios_simulator,real-world,20,svg,plantuml-dot,svg,,True,True,20,20,20,0,0,929.99975,926.0920625,941.502104,858.628083,924.07296875,944.1911145,1016.4723702000001,1206.478625,1,True,renders/plantuml-dot/leios_simulator.svg
lion_reader_frontend,real-world,19,png-primary,d2-dagre,png,2.0,True,True,20,20,20,0,0,395.5542295,392.7490835,402.89072899999996,390.140959,392.319219,404.21292675,425.7694104,434.837833,1,True,renders/d2-dagre/lion_reader_frontend.png
lion_reader_frontend,real-world,19,svg,d2-dagre,svg,,True,True,20,20,20,0,0,29.2421875,28.269354,31.63975,26.330042,28.03132275,32.74089625,42.849925,46.487,1,True,renders/d2-dagre/lion_reader_frontend.svg
lion_reader_frontend,real-world,19,png-primary,d2-tala,png,2.0,True,True,20,20,20,0,0,323.9360415,316.9438545,334.63276667499997,311.331084,316.18445875,335.15998975,344.84723270000006,420.594375,1,True,renders/d2-tala/lion_reader_frontend.png
lion_reader_frontend,real-world,19,svg,d2-tala,svg,,True,True,20,20,20,0,0,98.49966649999999,96.21168700000001,101.19555622499998,93.411875,95.9802185,102.556469,118.7222229,128.250208,1,True,renders/d2-tala/lion_reader_frontend.svg
lion_reader_frontend,real-world,19,png-primary,mermaid-dagre,png,2.0,True,True,20,20,20,0,0,623.2200829999999,611.002729,637.7960835,593.082084,608.7681875000001,642.47583375,689.3282976000003,922.84,1,True,renders/mermaid-dagre/lion_reader_frontend.png
lion_reader_frontend,real-world,19,svg,mermaid-dagre,svg,,True,True,20,20,20,0,0,408.1712915,400.302125,417.5427085,390.32,399.379396,421.45435425,447.06381845000004,448.661917,1,True,renders/mermaid-dagre/lion_reader_frontend.svg
lion_reader_frontend,real-world,19,png-primary,graphviz-dot,png,2.0,True,True,20,20,20,0,0,286.8209585,284.650146,292.0792915,279.720208,284.237698,292.664,316.9638854,332.527458,1,True,renders/graphviz-dot/lion_reader_frontend.png
lion_reader_frontend,real-world,19,svg,graphviz-dot,svg,,True,True,20,20,20,0,0,76.76974999999999,74.20177050000001,78.0872085,70.157375,73.4787185,78.42383375,101.10443155,110.352958,1,True,renders/graphviz-dot/lion_reader_frontend.svg
lion_reader_frontend,real-world,19,png-primary,plantuml-dot,png,2.0,True,True,20,20,20,0,0,1308.618646,1292.790875,1318.5266040000001,1257.464875,1290.15861475,1321.496521,1359.92219855,1439.453625,1,True,renders/plantuml-dot/lion_reader_frontend.png
lion_reader_frontend,real-world,19,svg,plantuml-dot,svg,,True,True,20,20,20,0,0,927.593396,916.7477295,937.4882715,855.881667,912.8179172499999,941.527917,974.5533568500001,1120.564041,1,True,renders/plantuml-dot/lion_reader_frontend.svg
